directory_rank,project_name,builders,project_url,demo_url,is_citizen,primary_theme,visit_status,final_url,page_title,hosting_bucket,citizen_overlap_signal_count,citizen_overlap_signals,flag_prototype_disclosure,flag_multilingual,flag_plain_language_or_own_words,flag_voice_or_speech,flag_ai_chat_or_copilot,flag_consent_privacy_or_sharing,flag_tracking_status_deadline_or_next_step,flag_documents_evidence_or_records,flag_eligibility_rules_or_benefits,flag_offline_low_data_or_weak_network,flag_accessibility_signal,flag_life_event_signal,flag_explicit_actor_or_owner,flag_provenance_or_source_boundary,supplemental_evidence_basis,supplemental_demo_summary
1,RTI Navigator,Vishisht G & Triambak TS,https://frontend-three-pi-48.vercel.app/filing/dashboard,https://www.loom.com/share/64f62eee6b274148a87e62d78913289f,False,"RTI, courts, law & elections",loaded_visible_content,https://frontend-three-pi-48.vercel.app/filing/dashboard,RTI Navigator — File your RTI in minutes,Vercel,4,ai_chat_or_copilot|tracking_status_deadline_or_next_step|eligibility_rules_or_benefits|offline_low_data_or_weak_network,False,False,False,False,True,False,True,False,True,True,False,False,False,False,,
2,SPASHT,Aashi Khandelwal & Lovely Gaur,https://spasht-three.vercel.app/,https://www.loom.com/share/913212c7db634e46843eeba25c9ce600,False,Cross-service platforms & infrastructure,loaded_visible_content,https://spasht-three.vercel.app/,Spasht Demo,Vercel,6,prototype_disclosure|plain_language_or_own_words|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|accessibility_signal,True,False,True,False,False,True,True,True,False,False,True,False,False,False,,
3,eVisa Bharat,Aarush Diwakar,https://india-evisa-redesign.aarush-uae.workers.dev/,https://drive.google.com/file/d/10EP2mLpB-Tp3H3ZR4-8dvzj0YDFbcrNA/view?usp=sharing,False,"Identity, documents, passports & visas",loaded_visible_content,https://india-evisa-redesign.aarush-uae.workers.dev/,Indian e-Visa — Redesign prototype,Cloudflare,5,prototype_disclosure|tracking_status_deadline_or_next_step|documents_evidence_or_records|eligibility_rules_or_benefits|life_event_signal,True,False,False,False,False,False,True,True,True,False,False,True,False,False,,
4,TRASHCHAIN,Nirmala Devi Patel,https://trashchain.vercel.app/,https://drive.google.com/drive/folders/1XtyXGr0zq_7nfWiowGFExHuU1hW_KUcF?usp=sharing,False,"Land, housing, utilities & environment",loaded_visible_content,https://trashchain.vercel.app/,TrashChain - Environmental Recovery Platform,Vercel,2,ai_chat_or_copilot|tracking_status_deadline_or_next_step,False,False,False,False,True,False,True,False,False,False,False,False,False,False,,
5,FinTrace,Sagar Batra,https://fintrace-three.vercel.app/,https://www.loom.com/share/7a8a98f7be9548069b6ce7ddbe5d70b2,False,"Benefits, loans & financial inclusion",loaded_visible_content,https://fintrace-three.vercel.app/,FinTrace | Insurance observability,Vercel,7,prototype_disclosure|plain_language_or_own_words|voice_or_speech|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records|life_event_signal,True,False,True,True,False,True,True,True,False,False,False,True,False,False,,
6,India Code 2.0,Abhinandan Sethi & Shaumik Khanna,https://india-code.vercel.app/,https://www.loom.com/share/34f3af20a31b454fa05854cc0d041d1f,False,"RTI, courts, law & elections",loaded_visible_content,https://india-code.vercel.app/,India Code 2.0,Vercel,4,prototype_disclosure|plain_language_or_own_words|tracking_status_deadline_or_next_step|documents_evidence_or_records,True,False,True,False,False,False,True,True,False,False,False,False,False,False,,
7,Pragyya AI Kendra,Ekansh Kumar Srivastva,https://pragyya.n3v.in/,https://canva.link/xga306dq1qk0xss,False,Cross-service platforms & infrastructure,loaded_minimal_or_client_only,about:blank,,Other/custom,1,ai_chat_or_copilot,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,
8,Wapsi,Abdul Basit Siddiqui & Aniket Shaw,https://wapsi-amber.vercel.app/,https://youtu.be/RpNbXT05ENI,False,"Tax, GST & filings",loaded_visible_content,https://wapsi-amber.vercel.app/,"Wapsi — your money, coming back",Vercel,4,prototype_disclosure|multilingual|tracking_status_deadline_or_next_step|documents_evidence_or_records,True,True,False,False,False,False,True,True,False,False,False,False,False,False,,
9,Challan sakshi,Shourya Banda,https://challansakshi.sh1rs.com/,https://www.loom.com/share/943e8284807e4dfa86dcad76a9f44a8d,False,Road transport & vehicles,loaded_visible_content,https://challansakshi.sh1rs.com/,ChallanSakshi — Understand your challan safely,Other/custom,4,ai_chat_or_copilot|consent_privacy_or_sharing|tracking_status_deadline_or_next_step|documents_evidence_or_records,False,False,False,False,True,True,True,True,False,False,False,False,False,False,,
10,PatentPath,Yashwant Sasikumar,https://patentpath-demo-20260829.oliverqueen.chatgpt.site/,https://drive.google.com/file/d/1MjXCbzK8CGOjsNGmXSmAqNXahzeiwSbQ/view?usp=drivesdk,False,"RTI, courts, law & elections",loaded_minimal_or_client_only,about:blank,,ChatGPT Sites,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
